Area,Area_A,Area_K,ELEV,ICON,NAME,Name_UC_N,P_1998,P_30_6_07,P_30_6_08,P_30_6_09,P_30_6_11,P_30_6_14,P_30_6_16,P_31_12_07,P_31_12_08,P_31_12_09,P_31_12_11,P_31_12_14,P_31_12_16,P_D_11,P_D_14,P_D_16,Town_Name,ZID,mean
12101848.3454,277.821321234,2689.29963231,0,0,Tajpura,Tajpura,38174,48105,49150,49751,51786,55091,57797,48622,49683,50142,52324,55870,58396,186.400380539,201.100476205,210.192650948,Aziz Bhatti Town,0,0.0820523508542696
7366820.42103,169.11960258,1637.07120467,0,0,Mian Meer,Mian Meer,33546,42273,43191,43720,45508,48412,50790,42728,43660,44063,45981,49096,51317,269.087671126,290.303425806,303.436143517,Aziz Bhatti Town,0,0.10460365422674411
10670292.7971,244.957196475,2371.17617713,0,0,Al-Faisal Town,Al-Faisal Town,31896,40194,41067,41569,43270,46030,48292,40626,41513,41896,43719,46681,48793,176.643105909,190.56798768,199.189902163,Aziz Bhatti Town,0,0.07197562910897229
45846952.3898,1052.50541272,10188.2116422,0,0,Guldasht Colony,Guldasht Colony,44547,56136,57356,58057,60432,64288,67446,56740,57978,58514,61059,65197,68145,57.4172819158,61.9445745476,64.7455102619,Aziz Bhatti Town,0,0.12502355059394565
22695106.2862,521.010033675,5043.35695249,0,0,Taj Bagh,Taj Bagh,36950,46563,47574,48156,50126,53324,55944,47063,48090,48535,50646,54078,56524,96.2092795919,103.794546179,108.489273424,Aziz Bhatti Town,0,0.07372218551186875
64894836.9178,1489.78642098,14421.0748706,0,0,Harbanspura,Harbanspura,38475,48590,49650,50742,52984,56102,58467,49117,50189,51302,53534,56684,59073,35.564829464,38.0484069406,39.6519925058,Aziz Bhatti Town,0,0.12537326290403444
2925190.08786,67.1533927608,650.042241747,0,0,Fateh Garh,Fateh Garh,31922,40314,41194,42100,43960,46547,48509,40752,41641,42564,44416,47030,49012,654.620685459,700.336916223,729.851433934,Aziz Bhatti Town,0,0.07412754940743392
25317197.8873,581.205214793,5626.04397496,0,0,Fateh Garh,Fateh Garh,31922,40314,41194,42100,43960,46547,48509,40752,41641,42564,44416,47030,49012,75.635935262,80.918062679,84.328217904,Aziz Bhatti Town,0,0.06396888954646451
15012948.5309,344.651253049,3336.21078464,0,0,Nabipura,Nabipura,40454,51089,52204,53352,55709,58988,61474,51643,52770,53941,56288,59600,62112,161.63875659,172.928429747,180.216956853,Aziz Bhatti Town,0,0.06120711074378057
9544215.47987,219.105914987,2120.9367733,0,0,Mustafa Abad,Mustafa Abad,38670,48730,0,50398,52459,55806,58548,49254,0,50794,53004,54595,59155,239.423020611,249.1717305,269.98358307,Aziz Bhatti Town,0,0.10320444424526476
13513400.4619,310.226228551,3002.97788042,0,0,Mughalpura,Mughalpura,33134,41845,0,43698,45629,48314,50351,42299,0,44180,46103,48816,50873,147.082985901,157.356134032,163.98677906,Aziz Bhatti Town,0,0.06940234688939795
1046109080.41,24015.4560345,232468.684536,0,0,Cantonment,Cantonment,565751,744967,744967,782554,0,834181,883265,754528,754528,791186,0,842841,892427,0.0,35.0957732716,37.1605269006,Cantonment,0,0.1710708472288752
5630741.05593,129.264544972,1251.27579021,0,0,Riwaz Garden,Riwaz Garden,32453,40985,41879,42800,44691,47321,49316,41429,42333,43273,45155,47812,49827,345.732853581,369.877138471,385.465326249,Data Gunj Baksh Town,0,0.05830383347588409
3094353.78101,71.0368723247,687.634173558,0,0,Islam Pura,Islam Pura,39957,50461,51563,52697,55025,58263,60719,51009,52122,53278,55596,58868,61349,774.59772931,828.696394894,863.621919045,Data Gunj Baksh Town,0,0.04600832490591942
17212073.4047,395.136415363,3824.90520104,0,0,Jinnah Hall,Jinnah Hall,42173,53260,54422,55620,58077,61495,64087,53838,55013,56233,58680,62133,64751,146.979619549,157.244428973,163.869988901,Data Gunj Baksh Town,0,0.08556129719516399
21999047.3845,505.030656128,4888.67719656,0,0,Anarkali,Anarkali,35931,45377,46367,47387,49481,52393,54601,45869,46870,47910,49994,52937,55167,97.9762305508,104.819379492,109.234953028,Data Gunj Baksh Town,0,0.10377210994190368
15545233.2669,356.870878053,3454.49628153,0,0,Mozang,Mozang,46003,58097,59365,60671,63351,67079,69907,58727,60009,61340,64009,67775,70632,177.517987306,189.914627861,197.920324531,Data Gunj Baksh Town,0,0.11008196631229882
24584384.2012,564.382060125,5463.19648916,0,0,Shadman,Shadman,37650,47548,48586,49655,51848,54899,57213,48064,49113,50202,52386,55469,57807,91.8668463496,98.2827129334,102.42529677,Data Gunj Baksh Town,0,0.14571294344636523
56463114.4395,1296.21993326,12547.3587643,0,0,Race Course,Race Course,35043,44256,45221,46216,48258,51098,53252,44736,45712,46726,48759,51628,53804,37.229793156,39.8296605964,41.5083880593,Data Gunj Baksh Town,0,0.1985248901797106
25956608.1596,595.884113553,5768.13514658,0,0,Qila Gujjar Singh,Qila Gujjar Singh,33355,42124,43043,43990,45933,48637,50687,42581,43510,44475,46410,49141,51212,77.0837801433,82.4673772674,85.9428852611,Data Gunj Baksh Town,0,0.15036047041899628
26702110.3745,612.998557927,5933.80230544,0,0,Kasur Pura,Kasur Pura,43563,55015,56216,57453,59991,63521,66199,55612,56826,58087,60614,64181,66885,97.8648305518,104.700083173,109.111186536,Data Gunj Baksh Town,0,0.1007415031938232
10370789.2823,238.081514361,2304.61984051,0,0,Sare Sultan,Sare Sultan,43204,54562,55753,56979,59497,62998,65653,55154,56358,57608,60114,63652,66334,249.901804261,267.353810189,278.618859503,Data Gunj Baksh Town,0,0.05518748259543292
9450678.54043,216.958593739,2100.15078676,0,0,Gawalmandi,Gawalmandi,38210,48255,49308,50393,52619,55716,58064,48779,49843,50949,53165,56294,58667,242.530148694,259.46886468,270.406435573,Data Gunj Baksh Town,0,0.0630325746638592
13693814.5473,314.367982616,3043.0698994,0,0,Bilal Gunj,Bilal Gunj,46076,58189,59459,60767,63452,67186,70018,58821,60104,61437,64110,67883,70744,201.839893083,215.934839913,225.03563948,Data Gunj Baksh Town,0,0.08031676677521962
8785754.19128,201.693970028,1952.38982028,0,0,Sanda Khurd,Sanda Khurd,41010,51791,52921,54086,56475,59799,62319,52353,53496,54682,57061,60419,62966,280.003413053,299.557790407,312.185832781,Data Gunj Baksh Town,0,0.04258760351590027
17648599.86,405.157723934,3921.91108,0,0,Sanda Kalan,Sanda Kalan,39142,49432,50511,51622,53903,57075,59481,49969,51059,52192,54462,57667,60097,133.042015037,142.332224202,148.32988846,Data Gunj Baksh Town,0,0.04616262498718459
18008016.2252,413.408821338,4001.78138338,0,0,Chohan Park,Chohan Park,40781,51502,52626,53784,56160,59465,61971,52061,53197,54377,56743,60082,62614,135.84615785,145.333134899,151.457822785,Data Gunj Baksh Town,0,0.05042061930752953
7288486.2994,167.321291401,1619.66362209,0,0,Ganj Kalan,Ganj Kalan,42103,53172,54332,55527,57980,61393,63980,53749,54921,56140,58582,62030,64644,346.518960704,370.723889833,386.34652804,Data Gunj Baksh Town,0,0.04850806267604521
29184295.4795,669.981914992,6485.39899544,0,0,Kareem Park,Kareem Park,35651,45023,46006,47018,49095,51985,54176,45512,46505,47537,49605,52524,54738,73.2780973656,78.3961459626,81.7007127732,Data Gunj Baksh Town,0,0.07202202568907985
8795089.35333,201.908276717,1954.46430074,0,0,Ameen Pura,Ameen Pura,39323,49661,50744,51861,54152,57339,59756,50200,51295,52433,54714,57934,60375,268.200991463,286.932269157,299.021917188,Data Gunj Baksh Town,0,0.038694515953863355
66433413.7019,1525.10742508,14762.9808226,0,0,Model Town,Model Town,33385,42162,43082,44030,45975,48680,50732,42619,43549,44515,46452,49186,51258,30.1454174597,32.2508429184,33.6094357401,Gulberg Town,0,0.19709684869030303
12892148.3562,295.964185605,2864.92185693,0,0,Bibi Pak Daman,Bibi Pak Daman,40683,51378,52499,53654,56025,59322,61822,51936,53069,54246,56606,59938,62463,189.296552505,202.517746792,211.049184456,Gulberg Town,0,0.11429868250502853
31270970.2149,717.885567015,6949.1044922,0,0,Zaman Park,Zaman Park,40078,50614,51719,52857,55192,58440,60903,51163,52280,53440,55765,59046,61535,76.8813339283,82.2498775752,85.717003973,Gulberg Town,0,0.21730982860080614
29717646.4353,682.226017132,6603.92143007,0,0,Railway Colony,Railway Colony,38311,48383,49438,50526,52758,55863,58218,48908,49975,51084,53306,56443,58822,77.3321431243,82.7335788765,86.2206930297,Gulberg Town,0,0.19661026778636856
12315391.991,282.723628391,2736.75377578,0,0,Garrhi Shahu,Garrhi Shahu,33112,41817,42729,43670,45599,48282,50317,42271,43193,44151,46072,48783,50839,161.284715606,172.546597105,179.818716565,Gulberg Town,0,0.11181288008249621
72162173.3762,1656.6221769,16036.038528,0,0,Al-Hamra,Al-Hamra,36078,45563,46557,47581,49683,52607,54825,46057,47062,48106,50199,53153,55393,29.9905438263,32.0851674819,33.4373164699,Gulberg Town,0,0.18667236098312978
38359286.8498,880.611576847,8524.28596662,0,0,Gulberg,Gulberg,42540,53721,54896,56104,58582,62030,64644,54306,55491,56722,59190,62673,65315,66.5242219615,71.1698570037,74.1700446795,Gulberg Town,0,0.140337750348017
20413316.7844,468.62714504,4536.29261876,0,0,Makkah Colony,Makkah Colony,38783,48979,50048,51149,53408,56551,58935,49510,50591,51713,53963,57138,59546,113.966936327,121.926355749,127.064769146,Gulberg Town,0,0.10979637254744248
10166518.1581,233.392075857,2259.22625736,0,0,Liaqatabad,Liaqatabad,41172,51996,53130,54299,56698,60035,62565,52560,53707,54898,57287,60658,63214,242.930269984,259.897427011,270.848955638,Gulberg Town,0,0.0779993302907986
13968292.6125,320.669157159,3104.065025,0,0,Pindi Rajputan,Pindi Rajputan,40127,50676,51782,52921,55259,58511,60977,51226,52344,53505,55833,59118,61610,172.324025452,184.358235522,192.129484937,Gulberg Town,0,0.0700300834746337
23122168.771,530.814078512,5138.25972689,0,0,Faisal Town,Faisal Town,32789,41409,42313,43244,45154,47811,49827,41858,42772,43721,45623,48307,50343,85.0655659446,91.0054988282,94.8411167638,Gulberg Town,0,0.09967908512924445
44707318.3875,1026.34291132,9934.95964167,0,0,Faisal Town,Faisal Town,32789,41409,42313,43244,45154,47811,49827,41858,42772,43721,45623,48307,50343,43.995042497,47.0671151593,49.0508576079,Gulberg Town,0,0.14545939637134445
40577358.0827,931.531689454,9017.19068504,0,0,Daras Barey Mian,Daras Barey Mian,42105,53174,54334,55530,57983,61395,64529,53751,54924,56142,58585,62033,65145,62.244796024,66.5924742038,69.9332086471,Gulberg Town,0,0.21255925386141813
