ADMIN_UNIT,DISTRICT,ALL_SEXES,MALE,FEMALE,TRANSGENDER,AVG_HH_SIZE
LAHORE METROPOLITAN CORPORATION (Part of Lahore City
Tehsil),LAHORE DISTRICT,4123354,2203776,1917723,1855,6.56
FAISALABAD MUNICIPAL CORPORATION,FAISALABAD DISTRICT,3691999,1929282,1762119,598,6.63
Tehsil),LAHORE DISTRICT,3244906,1687860,1556362,684,6.59
LAHORE METROPOLITAN CORPORATION (Part of Shalimar Tehsil),LAHORE DISTRICT,2670140,1402623,1267311,206,6.33
GUJRANWALA METROPOLITAN CORPORATION,GUJRANWALA DISTRICT,2511118,1290348,1220560,210,7.05
RAWALPINDI METROPOLITAN CORPORATION,RAWALPINDI DISTRICT,2284014,1188098,1095271,645,6.40
MULTAN MUNICIPAL CORPORATION,MULTAN DISTRICT,2169915,1111731,1057941,243,6.15
PESHAWAR MUNICIPAL CORPORATION,PESHAWAR DISTRICT,1837741,943369,894216,156,6.94
Sub-Division),KORANGI DISTRICT,1306183,690431,615532,220,6.61
Ferozabad Sub-Division),KARACHI EAST DISTRICT,1167692,627873,539635,184,6.46
KARACHI CENTRAL,DISTRICT,1165742,611178,554387,177,5.93
ISLAMABAD METROPOLITAN CORPORATION,ISLAMABAD DISTRICT,1108872,591589,517063,220,5.99
LAHORE METROPOLITAN CORPORATION (Part of Raiwind Tehsil),LAHORE DISTRICT,1080637,581873,498419,345,6.33
City),QUETTA DISTRICT,1077191,547883,529236,72,9.05
Gulzar-e-Hijri Sub-Division),KARACHI EAST DISTRICT,1030199,556103,474019,77,5.78
KARACHI WEST,DISTRICT,1000708,525476,475118,114,5.74
KARACHI SOUTH,DISTRICT,949878,497768,451993,117,5.69
Sub-Division),KEAMARI DISTRICT,948597,498168,450326,103,6.40
KARACHI CENTRAL,DISTRICT,922413,486229,436037,147,5.98
SIALKOT MUNICIPAL CORPORATION,SIALKOT DISTRICT,835337,428363,406499,475,6.48
KARACHI WEST,DISTRICT,832801,440500,392253,48,5.48
BAHAWALPUR METROPOLITAN CORPORATION,BAHAWALPUR DISTRICT,815202,414878,400222,102,6.17
WALTON CANTONMENT,LAHORE DISTRICT,810739,432481,378089,169,6.25
SARGODHA MUNICIPAL CORPORATION,SARGODHA DISTRICT,785698,399998,385528,172,6.31
HYDERABAD MUNICIPAL CORPORATION (Part of Latifabad Taluka),HYDERABAD DISTRICT,761793,401569,360144,80,5.20
RAWALPINDI CANTONMENT,RAWALPINDI DISTRICT,740483,381028,359085,370,6.40
