Category,Title,Price,Location,Area,URL
Homes,3 Years Installment Plan Luxury Brand New House In Park View City Lahore,1.15 Crore,"Park View City, Lahore",3.5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_brand_new_house_in_park_view_city_lahore-52526215-1466-1.html
Homes,2 KANAL FURNISHED BUNGALOW WITHOUT COMMISSION WITH AFTER SALES SERVICES,59 Crore,"DHA Phase 6, DHA Defence",2 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_furnished_bungalow_without_commission_with_after_sales_services-52596047-1448-1.html
Homes,Original Pictures Semi Furnished Full Basement Home Theater Owner Built One Kanal Spanish Villa Near Wateen Chowk,13 Crore,"DHA Phase 5, DHA Defence",1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_5_original_pictures_semi_furnished_full_basement_home_theater_owner_built_one_kanal_spanish_villa_near_wateen_chowk-52731329-1447-1.html
Homes,KANAL BUNGALOW WITHOUT COMMISSION WITH AFTER SALES SERVICES,9.95 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",1 Kanal,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_kanal_bungalow_without_commission_with_after_sales_services-52596326-1632-1.html
Homes,Fully Furnished 1 Kanal Elegant And Prime Location Super Hot Located Bungalow Is Available For Sale In The Best Block Of DHA Phase 8 Lahore.,9.75 Crore,"DHA Phase 8, DHA Defence",1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_8_fully_furnished_1_kanal_elegant_and_prime_location_super_hot_located_bungalow_is_available_for_sale_in_the_best_block_of_dha_phase_8_lahore-52598333-1451-1.html
Homes,"Brand New House For Sale Tulip Block, Park View City Lahore",2.25 Crore,"Park View City - Tulip Block, Park View City",5 Marla,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_block_brand_new_house_for_sale_tulip_block_park_view_city_lahore-52808893-8465-1.html
Homes,5 Marla Modern Design House For Sale in Park View City Lahore,2.1 Crore,"Park View City, Lahore",5 Marla,https://www.zameen.com/Property/lahore_park_view_city_5_marla_modern_design_house_for_sale_in_park_view_city_lahore-52833790-1466-1.html
Homes,5 Marla Brand New House for Sale Park View City Lahore,1.6 Crore,"Park View City, Lahore",5 Marla,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_for_sale_park_view_city_lahore-52836061-1466-1.html
Homes,5 Marla Brand New Modern House for Sale 4 Bedrooms Prime Location,2.2 Crore,"Park View City, Lahore",5 Marla,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_modern_house_for_sale_4_bedrooms_prime_location-52842321-1466-1.html
Homes,5 Marla House For Sale In Park View City Lahore,1.85 Crore,"Park View City, Lahore",5 Marla,https://www.zameen.com/Property/lahore_park_view_city_5_marla_house_for_sale_in_park_view_city_lahore-52856787-1466-1.html
