NAME,AREA_SQ_KM,ALL_SEXES,MALE,FEMALE,TRANSGENDER,SEX_RATIO,DENSITY_PER_SQ_KM,URBAN_PROPORTION,AVG_HH_SIZE
PAKISTAN,796096,241499431,124324406,117154694,20331,106.12,303.35,38.88,6.3
PAKISTAN-RURAL,,147614729,75592790,72017097,4842,104.97,, ,6.3
PAKISTAN-URBAN,,93884702,48731616,45137597,15489,107.96,, ,6.2
KHYBER PAKHTUNKHWA,101741,40856097,20845747,20009233,1117,104.18,401.57,15.01,6.9
KP-RURAL,,34724801,17685692,17038648,461,103.80,, ,6.9
KP-URBAN,,6131296,3160055,2970585,656,106.38,, ,6.7
PUNJAB,205345,127688922,65448376,62226589,13957,105.18,621.83,40.71,6.4
PUNJAB-RURAL,,75712955,38625841,37083868,3246,104.16,, ,6.4
PUNJAB-URBAN,,51975967,26822535,25142721,10711,106.68,, ,6.3
SINDH,140914,55696147,29014424,26677501,4222,108.76,395.25,53.97,5.6
SINDH-RURAL,,25639408,13245373,12393405,630,106.87,, ,5.4
SINDH-URBAN,,30056739,15769051,14284096,3592,110.40,, ,5.8
BALOCHISTAN,347190,14894402,7768166,7125471,765,109.02,42.90,30.96,6.4
BALOCHISTAN-RURAL,,10282574,5379780,4902339,455,109.74,, ,6.1
BALOCHISTAN-URBAN,,4611828,2388386,2223132,310,107.43,, ,7.0
ISLAMABAD,906,2363863,1247693,1115900,270,111.81,2609.12,46.91,5.7
ISLAMABAD-RURAL,,1254991,656104,598837,50,109.56,, ,5.5
ISLAMABAD-URBAN,,1108872,591589,517063,220,114.41,, ,5.9
