n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,society
45,122,5.4222222222222225,9381.918291571694,76.90096960304668,3.111111111111111,"{0: 0, 1: 2, 2: 0, 3: 34, 4: 9}","{0: 0.0, 1: 0.044444444444444446, 2: 0.0, 3: 0.7555555555555555, 4: 0.2}",43,5005.73594973092,65,77.01132230355262,1.0184424105399597,0.0,abdalian
79,185,4.6835443037974684,15809.461659508412,85.45654951085628,2.9873417721518987,"{0: 0, 1: 5, 2: 0, 3: 65, 4: 9}","{0: 0.0, 1: 0.06329113924050633, 2: 0.0, 3: 0.8227848101265823, 4: 0.11392405063291139}",74,8690.479287315231,100,86.9047928731523,1.0314246847635846,0.0,air_line_society
13,30,4.615384615384615,1350.4333282375921,45.0144442745864,3.0,"{0: 0, 1: 1, 2: 0, 3: 10, 4: 2}","{0: 0.0, 1: 0.07692307692307693, 2: 0.0, 3: 0.7692307692307693, 4: 0.15384615384615385}",12,675.2166641187961,15,45.0144442745864,1.0879248584332581,0.0,angori_bagh
199,510,5.125628140703518,38140.83712766742,74.78595515228906,2.949748743718593,"{0: 0, 1: 17, 2: 0, 3: 161, 4: 19, 5: 1, 6: 1}","{0: 0.0, 1: 0.08542713567839195, 2: 0.0, 3: 0.8090452261306532, 4: 0.09547738693467336, 5: 0.005025125628140704, 6: 0.005025125628140704}",182,20683.228995269474,276,74.93923549010678,1.0365097129037508,0.0,architect_engineer_hosuing_scheme
26,55,4.230769230769231,3629.2709979259357,65.98674541683519,3.230769230769231,"{0: 0, 1: 0, 2: 0, 3: 20, 4: 6}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.7692307692307693, 4: 0.23076923076923078}",26,2157.5377299312745,33,65.37993121003862,1.0251786028160572,0.0,awaisia
29,70,4.827586206896552,3834.168906240122,54.77384151771603,3.0,"{0: 0, 1: 1, 2: 0, 3: 26, 4: 2}","{0: 0.0, 1: 0.034482758620689655, 2: 0.0, 3: 0.896551724137931, 4: 0.06896551724137931}",28,1917.084453120061,35,54.77384151771603,1.0092180735594687,0.0,canal_burg
192,486,5.0625,37652.114372973156,77.47348636414229,3.140625,"{0: 0, 1: 9, 2: 0, 3: 139, 4: 43, 5: 1}","{0: 0.0, 1: 0.046875, 2: 0.0, 3: 0.7239583333333334, 4: 0.22395833333333334, 5: 0.005208333333333333}",183,22764.96896984258,281,81.01412444783836,1.0327863426111341,0.0,canal_view
36692,93543,5.098822631636324,9297725.97290754,99.39520833100862,2.735255641556743,"{0: 0, 1: 6786, 2: 29, 3: 26047, 4: 3780, 5: 43, 6: 7}","{0: 0.0, 1: 0.18494494712743922, 2: 0.0007903630219121334, 3: 0.7098822631636325, 4: 0.1030197318216505, 5: 0.0011719175842145426, 6: 0.00019077728115120463}",29906,5006282.110975556,50002,100.12163735401695,1.0496629423267403,0.000639974401023959,cantt_lahore
576,1575,5.46875,132742.20592736948,84.2807656681711,2.951388888888889,"{0: 0, 1: 39, 2: 0, 3: 487, 4: 50}","{0: 0.0, 1: 0.06770833333333333, 2: 0.0, 3: 0.8454861111111112, 4: 0.08680555555555555}",537,70246.15137983407,826,85.04376680367321,1.0276125617734708,0.0,dha_phase1
307,841,5.478827361563518,73306.8761981962,87.16632128204067,3.04885993485342,"{0: 0, 1: 11, 2: 0, 3: 259, 4: 37}","{0: 0.0, 1: 0.035830618892508145, 2: 0.0, 3: 0.8436482084690554, 4: 0.12052117263843648}",296,38475.24462230628,450,85.50054360512506,1.0230128095244244,0.0022222222222222222,dha_phase2
491,1390,5.661914460285132,130173.39616169236,93.64992529618155,3.05091649694501,"{0: 0, 1: 22, 2: 0, 3: 402, 4: 66, 5: 0, 6: 1}","{0: 0.0, 1: 0.04480651731160896, 2: 0.0, 3: 0.8187372708757638, 4: 0.13441955193482688, 5: 0.0, 6: 0.002036659877800407}",469,68380.35787352538,729,93.80021656176321,1.0121308880446178,0.0,dha_phase3
648,1739,5.367283950617284,154518.67120810554,88.85490006216536,2.9768518518518516,"{0: 0, 1: 57, 2: 0, 3: 492, 4: 99}","{0: 0.0, 1: 0.08796296296296297, 2: 0.0, 3: 0.7592592592592593, 4: 0.1527777777777778}",591,83551.60229962652,936,89.26453237139586,1.020168281913721,0.0,dha_phase4
990,2544,5.13939393939394,247869.6218381184,97.43302745209056,2.8393939393939394,"{0: 0, 1: 144, 2: 1, 3: 721, 4: 118, 5: 6}","{0: 0.0, 1: 0.14545454545454545, 2: 0.00101010101010101, 3: 0.7282828282828283, 4: 0.1191919191919192, 5: 0.006060606060606061}",846,133459.3757423402,1376,96.99082539414259,1.0226121620592292,0.0,dha_phase5
1492,3796,5.088471849865952,427124.4285584683,112.51960710180936,3.0435656836461127,"{0: 0, 1: 87, 2: 2, 3: 1163, 4: 239, 5: 1}","{0: 0.0, 1: 0.058310991957104555, 2: 0.0013404825737265416, 3: 0.7794906166219839, 4: 0.1601876675603217, 5: 0.0006702412868632708}",1405,243647.6876360785,2226,109.4553852812572,1.0203947322335478,0.0,dha_phase6
1961,5208,5.311575726670067,604070.153259626,115.98889271498196,2.9326874043855176,"{0: 0, 1: 191, 2: 1, 3: 1519, 4: 249, 5: 1}","{0: 0.0, 1: 0.09739928607853136, 2: 0.0005099439061703213, 3: 0.774604793472718, 4: 0.12697603263641, 5: 0.0005099439061703213}",1770,328935.0661473864,2832,116.14938776390763,1.0188932577681877,0.00035310734463276836,dha_phase7
